entity,iso_code,date,indicator,value,continent,total_deaths,new_deaths,icu_patients,hosp_patients,hospital_beds_per_thousand,population
Australia,AUS,2020-07-12,Daily ICU occupancy,18.0,Oceania,113.0,4.0,18.0,92.0,3.84,26177410.0
Australia,AUS,2020-07-12,Daily ICU occupancy per million,0.688,Oceania,113.0,4.0,18.0,92.0,3.84,26177410.0
Australia,AUS,2020-07-12,Daily hospital occupancy,92.0,Oceania,113.0,4.0,18.0,92.0,3.84,26177410.0
Australia,AUS,2020-07-12,Daily hospital occupancy per million,3.514,Oceania,113.0,4.0,18.0,92.0,3.84,26177410.0
Australia,AUS,2020-07-19,Daily ICU occupancy,33.0,Oceania,129.0,16.0,33.0,156.0,3.84,26177410.0
Australia,AUS,2020-07-19,Daily ICU occupancy per million,1.261,Oceania,129.0,16.0,33.0,156.0,3.84,26177410.0
Australia,AUS,2020-07-19,Daily hospital occupancy,156.0,Oceania,129.0,16.0,33.0,156.0,3.84,26177410.0
Australia,AUS,2020-07-19,Daily hospital occupancy per million,5.959,Oceania,129.0,16.0,33.0,156.0,3.84,26177410.0
Australia,AUS,2020-07-26,Daily ICU occupancy,49.0,Oceania,174.0,45.0,49.0,259.0,3.84,26177410.0
Australia,AUS,2020-07-26,Daily ICU occupancy per million,1.872,Oceania,174.0,45.0,49.0,259.0,3.84,26177410.0
Australia,AUS,2020-07-26,Daily hospital occupancy,259.0,Oceania,174.0,45.0,49.0,259.0,3.84,26177410.0
Australia,AUS,2020-07-26,Daily hospital occupancy per million,9.894,Oceania,174.0,45.0,49.0,259.0,3.84,26177410.0
Australia,AUS,2020-08-02,Daily ICU occupancy,43.0,Oceania,269.0,95.0,43.0,439.0,3.84,26177410.0
Australia,AUS,2020-08-02,Daily ICU occupancy per million,1.643,Oceania,269.0,95.0,43.0,439.0,3.84,26177410.0
Australia,AUS,2020-08-02,Daily hospital occupancy,439.0,Oceania,269.0,95.0,43.0,439.0,3.84,26177410.0
Australia,AUS,2020-08-02,Daily hospital occupancy per million,16.77,Oceania,269.0,95.0,43.0,439.0,3.84,26177410.0
Australia,AUS,2020-08-09,Daily ICU occupancy,56.0,Oceania,375.0,106.0,56.0,664.0,3.84,26177410.0
Australia,AUS,2020-08-09,Daily ICU occupancy per million,2.139,Oceania,375.0,106.0,56.0,664.0,3.84,26177410.0
Australia,AUS,2020-08-09,Daily hospital occupancy,664.0,Oceania,375.0,106.0,56.0,664.0,3.84,26177410.0
Australia,AUS,2020-08-09,Daily hospital occupancy per million,25.365,Oceania,375.0,106.0,56.0,664.0,3.84,26177410.0
Australia,AUS,2020-08-16,Daily ICU occupancy,51.0,Oceania,513.0,138.0,51.0,674.0,3.84,26177410.0
Australia,AUS,2020-08-16,Daily ICU occupancy per million,1.948,Oceania,513.0,138.0,51.0,674.0,3.84,26177410.0
Australia,AUS,2020-08-16,Daily hospital occupancy,674.0,Oceania,513.0,138.0,51.0,674.0,3.84,26177410.0
Australia,AUS,2020-08-16,Daily hospital occupancy per million,25.747,Oceania,513.0,138.0,51.0,674.0,3.84,26177410.0
Australia,AUS,2020-08-23,Daily ICU occupancy,38.0,Oceania,627.0,114.0,38.0,659.0,3.84,26177410.0
Australia,AUS,2020-08-23,Daily ICU occupancy per million,1.452,Oceania,627.0,114.0,38.0,659.0,3.84,26177410.0
Australia,AUS,2020-08-23,Daily hospital occupancy,659.0,Oceania,627.0,114.0,38.0,659.0,3.84,26177410.0
Australia,AUS,2020-08-23,Daily hospital occupancy per million,25.174,Oceania,627.0,114.0,38.0,659.0,3.84,26177410.0
Australia,AUS,2020-08-30,Daily ICU occupancy,27.0,Oceania,724.0,97.0,27.0,481.0,3.84,26177410.0
Australia,AUS,2020-08-30,Daily ICU occupancy per million,1.031,Oceania,724.0,97.0,27.0,481.0,3.84,26177410.0
Australia,AUS,2020-08-30,Daily hospital occupancy,481.0,Oceania,724.0,97.0,27.0,481.0,3.84,26177410.0
Australia,AUS,2020-08-30,Daily hospital occupancy per million,18.375,Oceania,724.0,97.0,27.0,481.0,3.84,26177410.0
Australia,AUS,2020-09-06,Daily ICU occupancy,32.0,Oceania,782.0,58.0,32.0,294.0,3.84,26177410.0
Australia,AUS,2020-09-06,Daily ICU occupancy per million,1.222,Oceania,782.0,58.0,32.0,294.0,3.84,26177410.0
Australia,AUS,2020-09-06,Daily hospital occupancy,294.0,Oceania,782.0,58.0,32.0,294.0,3.84,26177410.0
Australia,AUS,2020-09-06,Daily hospital occupancy per million,11.231,Oceania,782.0,58.0,32.0,294.0,3.84,26177410.0
Australia,AUS,2020-09-13,Daily ICU occupancy,18.0,Oceania,828.0,46.0,18.0,141.0,3.84,26177410.0
Australia,AUS,2020-09-13,Daily ICU occupancy per million,0.688,Oceania,828.0,46.0,18.0,141.0,3.84,26177410.0
Australia,AUS,2020-09-13,Daily hospital occupancy,141.0,Oceania,828.0,46.0,18.0,141.0,3.84,26177410.0
Australia,AUS,2020-09-13,Daily hospital occupancy per million,5.386,Oceania,828.0,46.0,18.0,141.0,3.84,26177410.0
Australia,AUS,2020-09-20,Daily ICU occupancy,8.0,Oceania,864.0,36.0,8.0,107.0,3.84,26177410.0
Australia,AUS,2020-09-20,Daily ICU occupancy per million,0.306,Oceania,864.0,36.0,8.0,107.0,3.84,26177410.0
Australia,AUS,2020-09-20,Daily hospital occupancy,107.0,Oceania,864.0,36.0,8.0,107.0,3.84,26177410.0
Australia,AUS,2020-09-20,Daily hospital occupancy per million,4.087,Oceania,864.0,36.0,8.0,107.0,3.84,26177410.0
Australia,AUS,2020-09-27,Daily ICU occupancy,11.0,Oceania,887.0,23.0,11.0,62.0,3.84,26177410.0
Australia,AUS,2020-09-27,Daily ICU occupancy per million,0.42,Oceania,887.0,23.0,11.0,62.0,3.84,26177410.0
Australia,AUS,2020-09-27,Daily hospital occupancy,62.0,Oceania,887.0,23.0,11.0,62.0,3.84,26177410.0
Australia,AUS,2020-09-27,Daily hospital occupancy per million,2.368,Oceania,887.0,23.0,11.0,62.0,3.84,26177410.0
Australia,AUS,2020-10-04,Daily ICU occupancy,6.0,Oceania,906.0,19.0,6.0,46.0,3.84,26177410.0
Australia,AUS,2020-10-04,Daily ICU occupancy per million,0.229,Oceania,906.0,19.0,6.0,46.0,3.84,26177410.0
Australia,AUS,2020-10-04,Daily hospital occupancy,46.0,Oceania,906.0,19.0,6.0,46.0,3.84,26177410.0
Australia,AUS,2020-10-04,Daily hospital occupancy per million,1.757,Oceania,906.0,19.0,6.0,46.0,3.84,26177410.0
Australia,AUS,2020-10-11,Daily ICU occupancy,1.0,Oceania,911.0,5.0,1.0,32.0,3.84,26177410.0
Australia,AUS,2020-10-11,Daily ICU occupancy per million,0.038,Oceania,911.0,5.0,1.0,32.0,3.84,26177410.0
Australia,AUS,2020-10-11,Daily hospital occupancy,32.0,Oceania,911.0,5.0,1.0,32.0,3.84,26177410.0
Australia,AUS,2020-10-11,Daily hospital occupancy per million,1.222,Oceania,911.0,5.0,1.0,32.0,3.84,26177410.0
Australia,AUS,2020-10-18,Daily ICU occupancy,1.0,Oceania,912.0,1.0,1.0,17.0,3.84,26177410.0
Australia,AUS,2020-10-18,Daily ICU occupancy per million,0.038,Oceania,912.0,1.0,1.0,17.0,3.84,26177410.0
Australia,AUS,2020-10-18,Daily hospital occupancy,17.0,Oceania,912.0,1.0,1.0,17.0,3.84,26177410.0
Australia,AUS,2020-10-18,Daily hospital occupancy per million,0.649,Oceania,912.0,1.0,1.0,17.0,3.84,26177410.0
Australia,AUS,2020-10-25,Daily ICU occupancy,0.0,Oceania,914.0,2.0,0.0,17.0,3.84,26177410.0
Australia,AUS,2020-10-25,Daily ICU occupancy per million,0.0,Oceania,914.0,2.0,0.0,17.0,3.84,26177410.0
Australia,AUS,2020-10-25,Daily hospital occupancy,17.0,Oceania,914.0,2.0,0.0,17.0,3.84,26177410.0
Australia,AUS,2020-10-25,Daily hospital occupancy per million,0.649,Oceania,914.0,2.0,0.0,17.0,3.84,26177410.0
Australia,AUS,2020-11-01,Daily ICU occupancy,1.0,Oceania,914.0,0.0,1.0,16.0,3.84,26177410.0
Australia,AUS,2020-11-01,Daily ICU occupancy per million,0.038,Oceania,914.0,0.0,1.0,16.0,3.84,26177410.0
Australia,AUS,2020-11-01,Daily hospital occupancy,16.0,Oceania,914.0,0.0,1.0,16.0,3.84,26177410.0
Australia,AUS,2020-11-01,Daily hospital occupancy per million,0.611,Oceania,914.0,0.0,1.0,16.0,3.84,26177410.0
Australia,AUS,2020-11-08,Daily ICU occupancy,1.0,Oceania,914.0,0.0,1.0,20.0,3.84,26177410.0
Australia,AUS,2020-11-08,Daily ICU occupancy per million,0.038,Oceania,914.0,0.0,1.0,20.0,3.84,26177410.0
Australia,AUS,2020-11-08,Daily hospital occupancy,20.0,Oceania,914.0,0.0,1.0,20.0,3.84,26177410.0
Australia,AUS,2020-11-08,Daily hospital occupancy per million,0.764,Oceania,914.0,0.0,1.0,20.0,3.84,26177410.0
Australia,AUS,2020-11-15,Daily ICU occupancy,0.0,Oceania,917.0,3.0,0.0,24.0,3.84,26177410.0
Australia,AUS,2020-11-15,Daily ICU occupancy per million,0.0,Oceania,917.0,3.0,0.0,24.0,3.84,26177410.0
Australia,AUS,2020-11-15,Daily hospital occupancy,24.0,Oceania,917.0,3.0,0.0,24.0,3.84,26177410.0
Australia,AUS,2020-11-15,Daily hospital occupancy per million,0.917,Oceania,917.0,3.0,0.0,24.0,3.84,26177410.0
Australia,AUS,2020-11-22,Daily ICU occupancy,0.0,Oceania,917.0,0.0,0.0,21.0,3.84,26177410.0
Australia,AUS,2020-11-22,Daily ICU occupancy per million,0.0,Oceania,917.0,0.0,0.0,21.0,3.84,26177410.0
Australia,AUS,2020-11-22,Daily hospital occupancy,21.0,Oceania,917.0,0.0,0.0,21.0,3.84,26177410.0
Australia,AUS,2020-11-22,Daily hospital occupancy per million,0.802,Oceania,917.0,0.0,0.0,21.0,3.84,26177410.0
Australia,AUS,2020-11-29,Daily ICU occupancy,0.0,Oceania,918.0,1.0,0.0,22.0,3.84,26177410.0
Australia,AUS,2020-11-29,Daily ICU occupancy per million,0.0,Oceania,918.0,1.0,0.0,22.0,3.84,26177410.0
Australia,AUS,2020-11-29,Daily hospital occupancy,22.0,Oceania,918.0,1.0,0.0,22.0,3.84,26177410.0
Australia,AUS,2020-11-29,Daily hospital occupancy per million,0.84,Oceania,918.0,1.0,0.0,22.0,3.84,26177410.0
Australia,AUS,2020-12-06,Daily ICU occupancy,0.0,Oceania,919.0,1.0,0.0,33.0,3.84,26177410.0
Australia,AUS,2020-12-06,Daily ICU occupancy per million,0.0,Oceania,919.0,1.0,0.0,33.0,3.84,26177410.0
Australia,AUS,2020-12-06,Daily hospital occupancy,33.0,Oceania,919.0,1.0,0.0,33.0,3.84,26177410.0
Australia,AUS,2020-12-06,Daily hospital occupancy per million,1.261,Oceania,919.0,1.0,0.0,33.0,3.84,26177410.0
Australia,AUS,2020-12-13,Daily ICU occupancy,1.0,Oceania,919.0,0.0,1.0,28.0,3.84,26177410.0
Australia,AUS,2020-12-13,Daily ICU occupancy per million,0.038,Oceania,919.0,0.0,1.0,28.0,3.84,26177410.0
Australia,AUS,2020-12-13,Daily hospital occupancy,28.0,Oceania,919.0,0.0,1.0,28.0,3.84,26177410.0
Australia,AUS,2020-12-13,Daily hospital occupancy per million,1.07,Oceania,919.0,0.0,1.0,28.0,3.84,26177410.0
Australia,AUS,2020-12-20,Daily ICU occupancy,0.0,Oceania,919.0,0.0,0.0,23.0,3.84,26177410.0
Australia,AUS,2020-12-20,Daily ICU occupancy per million,0.0,Oceania,919.0,0.0,0.0,23.0,3.84,26177410.0
Australia,AUS,2020-12-20,Daily hospital occupancy,23.0,Oceania,919.0,0.0,0.0,23.0,3.84,26177410.0
Australia,AUS,2020-12-20,Daily hospital occupancy per million,0.879,Oceania,919.0,0.0,0.0,23.0,3.84,26177410.0
Australia,AUS,2020-12-27,Daily ICU occupancy,0.0,Oceania,920.0,1.0,0.0,19.0,3.84,26177410.0
Australia,AUS,2020-12-27,Daily ICU occupancy per million,0.0,Oceania,920.0,1.0,0.0,19.0,3.84,26177410.0
Australia,AUS,2020-12-27,Daily hospital occupancy,19.0,Oceania,920.0,1.0,0.0,19.0,3.84,26177410.0
Australia,AUS,2020-12-27,Daily hospital occupancy per million,0.726,Oceania,920.0,1.0,0.0,19.0,3.84,26177410.0
Australia,AUS,2021-01-03,Daily ICU occupancy,0.0,Oceania,922.0,2.0,0.0,26.0,3.84,26177410.0
Australia,AUS,2021-01-03,Daily ICU occupancy per million,0.0,Oceania,922.0,2.0,0.0,26.0,3.84,26177410.0
Australia,AUS,2021-01-03,Daily hospital occupancy,26.0,Oceania,922.0,2.0,0.0,26.0,3.84,26177410.0
Australia,AUS,2021-01-03,Daily hospital occupancy per million,0.993,Oceania,922.0,2.0,0.0,26.0,3.84,26177410.0
Australia,AUS,2021-01-10,Daily ICU occupancy,0.0,Oceania,922.0,0.0,0.0,45.0,3.84,26177410.0
Australia,AUS,2021-01-10,Daily ICU occupancy per million,0.0,Oceania,922.0,0.0,0.0,45.0,3.84,26177410.0
Australia,AUS,2021-01-10,Daily hospital occupancy,45.0,Oceania,922.0,0.0,0.0,45.0,3.84,26177410.0
Australia,AUS,2021-01-10,Daily hospital occupancy per million,1.719,Oceania,922.0,0.0,0.0,45.0,3.84,26177410.0
Australia,AUS,2021-01-17,Daily ICU occupancy,2.0,Oceania,923.0,1.0,2.0,34.0,3.84,26177410.0
Australia,AUS,2021-01-17,Daily ICU occupancy per million,0.076,Oceania,923.0,1.0,2.0,34.0,3.84,26177410.0
Australia,AUS,2021-01-17,Daily hospital occupancy,34.0,Oceania,923.0,1.0,2.0,34.0,3.84,26177410.0
Australia,AUS,2021-01-17,Daily hospital occupancy per million,1.299,Oceania,923.0,1.0,2.0,34.0,3.84,26177410.0
Australia,AUS,2021-01-24,Daily ICU occupancy,0.0,Oceania,923.0,0.0,0.0,25.0,3.84,26177410.0
Australia,AUS,2021-01-24,Daily ICU occupancy per million,0.0,Oceania,923.0,0.0,0.0,25.0,3.84,26177410.0
Australia,AUS,2021-01-24,Daily hospital occupancy,25.0,Oceania,923.0,0.0,0.0,25.0,3.84,26177410.0
Australia,AUS,2021-01-24,Daily hospital occupancy per million,0.955,Oceania,923.0,0.0,0.0,25.0,3.84,26177410.0
Australia,AUS,2021-01-31,Daily ICU occupancy,0.0,Oceania,923.0,0.0,0.0,10.0,3.84,26177410.0
Australia,AUS,2021-01-31,Daily ICU occupancy per million,0.0,Oceania,923.0,0.0,0.0,10.0,3.84,26177410.0
Australia,AUS,2021-01-31,Daily hospital occupancy,10.0,Oceania,923.0,0.0,0.0,10.0,3.84,26177410.0
Australia,AUS,2021-01-31,Daily hospital occupancy per million,0.382,Oceania,923.0,0.0,0.0,10.0,3.84,26177410.0
Australia,AUS,2021-02-07,Daily ICU occupancy,0.0,Oceania,923.0,0.0,0.0,10.0,3.84,26177410.0
Australia,AUS,2021-02-07,Daily ICU occupancy per million,0.0,Oceania,923.0,0.0,0.0,10.0,3.84,26177410.0
Australia,AUS,2021-02-07,Daily hospital occupancy,10.0,Oceania,923.0,0.0,0.0,10.0,3.84,26177410.0
Australia,AUS,2021-02-07,Daily hospital occupancy per million,0.382,Oceania,923.0,0.0,0.0,10.0,3.84,26177410.0
Australia,AUS,2021-02-14,Daily ICU occupancy,0.0,Oceania,923.0,0.0,0.0,14.0,3.84,26177410.0
Australia,AUS,2021-02-14,Daily ICU occupancy per million,0.0,Oceania,923.0,0.0,0.0,14.0,3.84,26177410.0
Australia,AUS,2021-02-14,Daily hospital occupancy,14.0,Oceania,923.0,0.0,0.0,14.0,3.84,26177410.0
Australia,AUS,2021-02-14,Daily hospital occupancy per million,0.535,Oceania,923.0,0.0,0.0,14.0,3.84,26177410.0
Australia,AUS,2021-02-21,Daily ICU occupancy,1.0,Oceania,924.0,1.0,1.0,11.0,3.84,26177410.0
Australia,AUS,2021-02-21,Daily ICU occupancy per million,0.038,Oceania,924.0,1.0,1.0,11.0,3.84,26177410.0
Australia,AUS,2021-02-21,Daily hospital occupancy,11.0,Oceania,924.0,1.0,1.0,11.0,3.84,26177410.0
Australia,AUS,2021-02-21,Daily hospital occupancy per million,0.42,Oceania,924.0,1.0,1.0,11.0,3.84,26177410.0
Australia,AUS,2021-02-28,Daily ICU occupancy,1.0,Oceania,924.0,0.0,1.0,17.0,3.84,26177410.0
Australia,AUS,2021-02-28,Daily ICU occupancy per million,0.038,Oceania,924.0,0.0,1.0,17.0,3.84,26177410.0
Australia,AUS,2021-02-28,Daily hospital occupancy,17.0,Oceania,924.0,0.0,1.0,17.0,3.84,26177410.0
Australia,AUS,2021-02-28,Daily hospital occupancy per million,0.649,Oceania,924.0,0.0,1.0,17.0,3.84,26177410.0
Australia,AUS,2021-03-07,Daily ICU occupancy,1.0,Oceania,924.0,0.0,1.0,29.0,3.84,26177410.0
Australia,AUS,2021-03-07,Daily ICU occupancy per million,0.038,Oceania,924.0,0.0,1.0,29.0,3.84,26177410.0
Australia,AUS,2021-03-07,Daily hospital occupancy,29.0,Oceania,924.0,0.0,1.0,29.0,3.84,26177410.0
Australia,AUS,2021-03-07,Daily hospital occupancy per million,1.108,Oceania,924.0,0.0,1.0,29.0,3.84,26177410.0
Australia,AUS,2021-03-14,Daily ICU occupancy,0.0,Oceania,925.0,1.0,0.0,37.0,3.84,26177410.0
Australia,AUS,2021-03-14,Daily ICU occupancy per million,0.0,Oceania,925.0,1.0,0.0,37.0,3.84,26177410.0
Australia,AUS,2021-03-14,Daily hospital occupancy,37.0,Oceania,925.0,1.0,0.0,37.0,3.84,26177410.0
Australia,AUS,2021-03-14,Daily hospital occupancy per million,1.413,Oceania,925.0,1.0,0.0,37.0,3.84,26177410.0
Australia,AUS,2021-03-21,Daily ICU occupancy,1.0,Oceania,925.0,0.0,1.0,64.0,3.84,26177410.0
Australia,AUS,2021-03-21,Daily ICU occupancy per million,0.038,Oceania,925.0,0.0,1.0,64.0,3.84,26177410.0
Australia,AUS,2021-03-21,Daily hospital occupancy,64.0,Oceania,925.0,0.0,1.0,64.0,3.84,26177410.0
Australia,AUS,2021-03-21,Daily hospital occupancy per million,2.445,Oceania,925.0,0.0,1.0,64.0,3.84,26177410.0
Australia,AUS,2021-03-28,Daily ICU occupancy,2.0,Oceania,925.0,0.0,2.0,78.0,3.84,26177410.0
Australia,AUS,2021-03-28,Daily ICU occupancy per million,0.076,Oceania,925.0,0.0,2.0,78.0,3.84,26177410.0
Australia,AUS,2021-03-28,Daily hospital occupancy,78.0,Oceania,925.0,0.0,2.0,78.0,3.84,26177410.0
Australia,AUS,2021-03-28,Daily hospital occupancy per million,2.98,Oceania,925.0,0.0,2.0,78.0,3.84,26177410.0
Australia,AUS,2021-04-04,Daily ICU occupancy,3.0,Oceania,926.0,1.0,3.0,84.0,3.84,26177410.0
Australia,AUS,2021-04-04,Daily ICU occupancy per million,0.115,Oceania,926.0,1.0,3.0,84.0,3.84,26177410.0
Australia,AUS,2021-04-04,Daily hospital occupancy,84.0,Oceania,926.0,1.0,3.0,84.0,3.84,26177410.0
Australia,AUS,2021-04-04,Daily hospital occupancy per million,3.209,Oceania,926.0,1.0,3.0,84.0,3.84,26177410.0
Australia,AUS,2021-04-11,Daily ICU occupancy,1.0,Oceania,926.0,0.0,1.0,62.0,3.84,26177410.0
Australia,AUS,2021-04-11,Daily ICU occupancy per million,0.038,Oceania,926.0,0.0,1.0,62.0,3.84,26177410.0
Australia,AUS,2021-04-11,Daily hospital occupancy,62.0,Oceania,926.0,0.0,1.0,62.0,3.84,26177410.0
Australia,AUS,2021-04-11,Daily hospital occupancy per million,2.368,Oceania,926.0,0.0,1.0,62.0,3.84,26177410.0
Australia,AUS,2021-04-18,Daily ICU occupancy,3.0,Oceania,928.0,2.0,3.0,47.0,3.84,26177410.0
Australia,AUS,2021-04-18,Daily ICU occupancy per million,0.115,Oceania,928.0,2.0,3.0,47.0,3.84,26177410.0
Australia,AUS,2021-04-18,Daily hospital occupancy,47.0,Oceania,928.0,2.0,3.0,47.0,3.84,26177410.0
Australia,AUS,2021-04-18,Daily hospital occupancy per million,1.795,Oceania,928.0,2.0,3.0,47.0,3.84,26177410.0
Australia,AUS,2021-04-25,Daily ICU occupancy,1.0,Oceania,928.0,0.0,1.0,73.0,3.84,26177410.0
Australia,AUS,2021-04-25,Daily ICU occupancy per million,0.038,Oceania,928.0,0.0,1.0,73.0,3.84,26177410.0
Australia,AUS,2021-04-25,Daily hospital occupancy,73.0,Oceania,928.0,0.0,1.0,73.0,3.84,26177410.0
